model,tf,method,faithfulness_to_ISM,stability,localization_at10,n_seqs
expert_GATA3,GATA3,vanilla,0.7565576451933126,0.9546266911630178,0.618,50
expert_GATA3,GATA3,vanilla_corr,0.7957662398285805,0.9545611431148734,0.626,50
expert_GATA3,GATA3,smoothgrad,0.7805290911116765,0.917708786267125,0.636,50
expert_GATA3,GATA3,smoothgrad_corr,0.8057891899033095,0.9137051079552996,0.6560000000000001,50
expert_GATA3,GATA3,shiftsmooth,0.7601846364840167,0.9628579879248423,0.6240000000000001,50
expert_GATA3,GATA3,shiftsmooth_corr,0.7978108093840547,0.961737313076526,0.626,50
expert_GATA3,GATA3,gradxinp,0.7565576451933126,0.9546266911630178,0.618,50
MoE,GATA3,vanilla,0.7313071636575421,0.9384712871287129,0.554,50
MoE,GATA3,vanilla_corr,0.7522427489807805,0.9435005241700639,0.5579999999999999,50
MoE,GATA3,smoothgrad,0.7578571927781012,0.92664111822947,0.58,50
MoE,GATA3,smoothgrad_corr,0.7608983110075713,0.9273719277810133,0.574,50
MoE,GATA3,shiftsmooth,0.7360542807221898,0.9532230634828188,0.56,50
MoE,GATA3,shiftsmooth_corr,0.7550364589400115,0.9581232382061735,0.57,50
MoE,GATA3,gradxinp,0.7313071636575421,0.9384712871287129,0.554,50
expert_JUND,JUND,vanilla,0.6321766143894619,0.9388344758274596,0.6140000000000001,50
expert_JUND,JUND,vanilla_corr,0.8111621345607622,0.9473917283555059,0.728,50
expert_JUND,JUND,smoothgrad,0.6057763541059987,0.9274119976703554,0.6060000000000001,50
expert_JUND,JUND,smoothgrad_corr,0.7643850902737332,0.9133910308677927,0.7280000000000001,50
expert_JUND,JUND,shiftsmooth,0.6312053864625231,0.9429318455334039,0.6060000000000001,50
expert_JUND,JUND,shiftsmooth_corr,0.8046722071045943,0.9514105985537964,0.732,50
expert_JUND,JUND,gradxinp,0.6321766143894619,0.9388344758274596,0.6140000000000001,50
MoE,JUND,vanilla,0.6831648223645895,0.9398157251019219,0.6100000000000001,50
MoE,JUND,vanilla_corr,0.7804461269656376,0.9441267326732674,0.7060000000000001,50
MoE,JUND,smoothgrad,0.6829083284799069,0.9324841001747234,0.592,50
MoE,JUND,smoothgrad_corr,0.7675478159580664,0.9247562026790913,0.7020000000000001,50
MoE,JUND,shiftsmooth,0.6861374490390216,0.9436086196854977,0.6080000000000001,50
MoE,JUND,shiftsmooth_corr,0.783440885264997,0.9505337216074546,0.7060000000000001,50
MoE,JUND,gradxinp,0.6831648223645895,0.9398157251019219,0.6100000000000001,50
expert_MAX,MAX,vanilla,0.742059456583791,0.9151480489225392,0.564,50
expert_MAX,MAX,vanilla_corr,0.7705750086997625,0.9165069306930692,0.584,50
expert_MAX,MAX,smoothgrad,0.7492577100289918,0.9148347117064646,0.578,50
expert_MAX,MAX,smoothgrad_corr,0.7641476353358647,0.9191827606290041,0.584,50
expert_MAX,MAX,shiftsmooth,0.7420359260899647,0.9197013395457192,0.588,50
expert_MAX,MAX,shiftsmooth_corr,0.7722862484313276,0.9240773442050089,0.584,50
expert_MAX,MAX,gradxinp,0.742059456583791,0.9151480489225392,0.564,50
MoE,MAX,vanilla,0.7370984274898078,0.9351277810133954,0.53,50
MoE,MAX,vanilla_corr,0.749960163075131,0.9386884100174723,0.528,50
MoE,MAX,smoothgrad,0.7695760046592893,0.9078518345952243,0.5519999999999999,50
MoE,MAX,smoothgrad_corr,0.7615673849737914,0.9137584158415842,0.534,50
MoE,MAX,shiftsmooth,0.7449290623179964,0.9495520093185789,0.54,50
MoE,MAX,shiftsmooth_corr,0.7544174723354687,0.9533062317996505,0.53,50
MoE,MAX,gradxinp,0.7370984274898078,0.9351277810133954,0.53,50
expert_GABPA,GABPA,vanilla,0.7022567268491555,0.9458222481071636,0.5880000000000001,50
