model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
best_single,in_distribution,GABPA,0.906356,0.9063162779970669,0.888501593560624,0.9229602682266187,0.9089072561397747,0.9588014981273408,0.02276567363272566
DNABERT,in_distribution,GABPA,0.9217960000000001,0.921616157261345,0.9045004732722846,0.9364393435648763,0.9193147327164846,0.9501779359430605,0.01873289833719217
HetMoE,in_distribution,SP1,0.848416,0.8485005218639428,0.8230013517994592,0.8710374551657494,0.8519558395170843,0.900709219858156,0.00899879543683129
static_mean,in_distribution,SP1,0.7171080000000001,0.7171255278947563,0.6849333447333662,0.7482591900604092,0.6840488332535398,0.6829268292682927,0.0021513638109873223
best_single,in_distribution,SP1,0.6706719999999999,0.6705174643521193,0.6370091221603145,0.7035912744249513,0.6793287025020778,0.672,0.0020466340179811416
DNABERT,in_distribution,SP1,0.7585,0.7583646234781093,0.7253808721057474,0.7866741752500477,0.7148792233052746,0.7317784256559767,0.002723553858006272
HetMoE,out_of_distribution,JUN,0.944672,0.9444981287477423,0.9300436971452558,0.95767170823403,0.9429433004552048,0.9810606060606061,0.04929577464788733
static_mean,out_of_distribution,JUN,0.806512,0.8061307543179534,0.7813769837521107,0.831355707728985,0.7663450607597684,0.8012820512820513,0.004020068180356339
best_single,out_of_distribution,JUN,0.9703479999999999,0.9701563528102987,0.9607825151645757,0.9784786111774667,0.9730100477847281,0.9962546816479401,0.21027667984189724
DNABERT,out_of_distribution,JUN,0.8025160000000001,0.802100555838948,0.7761283834138809,0.826689567807638,0.7858064906056879,0.7739938080495357,0.0034163739972942323
HetMoE,out_of_distribution,FOSL1,0.936284,0.9361502052525029,0.9207802217372659,0.9501692061700933,0.9398367990337302,0.9689922480620154,0.030332443581654933
static_mean,out_of_distribution,FOSL1,0.792688,0.7929997827708076,0.7652660207315792,0.8200123716703658,0.7723031244568221,0.789308176100629,0.003736008573469874
best_single,out_of_distribution,FOSL1,0.9538039999999999,0.9536671295809414,0.9405866573526949,0.9657203268579448,0.9618586936792721,0.9933774834437086,0.13054830287206265
DNABERT,out_of_distribution,FOSL1,0.7884399999999999,0.7885748529408881,0.7626684154659117,0.8155679974692579,0.7814912359873659,0.7699386503067485,0.003338831541981484
HetMoE,out_of_distribution,ATF3,0.8551319999999999,0.8548322512578707,0.8301255603033553,0.876827608775688,0.868344841490915,0.9130434782608695,0.010401188707280832
static_mean,out_of_distribution,ATF3,0.7396320000000001,0.7398222702424749,0.7107162062844574,0.7700207307479019,0.7120983134812763,0.7529761904761905,0.0030419622460021644
best_single,out_of_distribution,ATF3,0.8208520000000001,0.8206914010772827,0.7942096266829985,0.8450389079861707,0.855203376538031,0.9296296296296296,0.013051164725457573
DNABERT,out_of_distribution,ATF3,0.785728,0.7857310614329968,0.7575247526685774,0.8128792570823271,0.7511840320999094,0.7668711656441718,0.00328195972379027
HetMoE,out_of_distribution,MYC,0.91732,0.9168579278720435,0.8998027834327702,0.9327668878421156,0.9199967152273851,0.9562043795620438,0.021387755102040818
static_mean,out_of_distribution,MYC,0.850112,0.8494303280649494,0.8252363649889395,0.87308099398446,0.8259345207259291,0.8489932885906041,0.005596354627499558
best_single,out_of_distribution,MYC,0.863968,0.863460450821077,0.8423488024398896,0.8863255437324367,0.868204532272475,0.8993055555555556,0.008860759493670886
DNABERT,out_of_distribution,MYC,0.8633719999999999,0.8628483902941357,0.8398288629893316,0.8846154630227789,0.8409085986261164,0.8737201365187713,0.006878207367204923
HetMoE,out_of_distribution,MXI1,0.88192,0.8814077653922525,0.8600535333912858,0.9002883182566076,0.8867535453408849,0.9090909090909091,0.009910802775024777
static_mean,out_of_distribution,MXI1,0.822176,0.8216483764785323,0.7953987315430374,0.8467422165097102,0.7952276447271189,0.8146964856230032,0.004381669158204032
best_single,out_of_distribution,MXI1,0.832532,0.8323475866007364,0.8058394984980557,0.855054951882435,0.8333715701171759,0.8561643835616438,0.0059230477634571645
DNABERT,out_of_distribution,MXI1,0.835112,0.8347335026350152,0.8081426845201682,0.8587816951952676,0.8053330727365057,0.8311258278145696,0.004902343750000001
HetMoE,out_of_distribution,USF1,0.945628,0.9455195094354824,0.9328716317982039,0.957490644768273,0.9431888790675662,0.9591078066914498,0.02293945052013871
static_mean,out_of_distribution,USF1,0.845608,0.8461669466346521,0.8232337604623886,0.8698898445102532,0.8090307082437145,0.8090909090909091,0.00422441617619138
best_single,out_of_distribution,USF1,0.8670720000000001,0.8670864909351922,0.845964720595545,0.8879782655887911,0.8674726961666518,0.9068100358422939,0.009646547451100013
DNABERT,out_of_distribution,USF1,0.851132,0.8515479684448187,0.8287408384291329,0.8752170758627366,0.8171221813835867,0.8122977346278317,0.004313233550427027
HetMoE,out_of_distribution,ELF1,0.966848,0.9668552549117646,0.9567763002327095,0.9759798798318108,0.9643788324074751,0.9844961240310077,0.059764705882352935
static_mean,out_of_distribution,ELF1,0.915516,0.9157058077275301,0.8984592724390144,0.933707429666373,0.8891317941214933,0.9306569343065694,0.013256394260761077
best_single,out_of_distribution,ELF1,0.9092720000000001,0.9096599499834978,0.8907413917094036,0.9273595756043653,0.9050772464376633,0.9363295880149812,0.014507050426507281
DNABERT,out_of_distribution,ELF1,0.920512,0.9208103386087283,0.9029779586093998,0.9377646068140163,0.8959478212259179,0.9440298507462687,0.016603228770179817
HetMoE,out_of_distribution,ETS1,0.8663120000000001,0.866130087380068,0.8430253607655502,0.8876671952073005,0.8694809818938726,0.9239130434782609,0.012009042102288781
