model,data_type,tf,point_auc,mean_auc,ci95_low,ci95_high,auprc,prec_at_rec50,prec_at_prev1e-3
HetMoE,in_distribution,SP1,0.7588199999999999,0.7587299623919009,0.7280177688869358,0.789204866626935,0.7791909024876263,0.7961783439490446,0.003894930358645187
static_mean,in_distribution,SP1,0.6663399999999999,0.6661304939863706,0.6311549950713887,0.7011806852422394,0.6663793598936767,0.6702412868632708,0.00203042387128737
best_single,in_distribution,SP1,0.6208960000000001,0.6208930981921023,0.5857247911670387,0.6553810213299568,0.6310890998257859,0.5961995249406176,0.0014757674284605572
DNABERT,in_distribution,SP1,0.733508,0.7333409320876366,0.701383855282209,0.7642651953474668,0.7513543104453742,0.7331378299120235,0.002742460974780329
HetMoE,out_of_distribution,JUN,0.9564159999999999,0.956451364508561,0.9435527571947565,0.9683805625182464,0.9444525141666043,0.9695817490494296,0.030920334667151692
static_mean,out_of_distribution,JUN,0.869648,0.8694438643127318,0.8471614331764996,0.8916053055174324,0.8153492619720757,0.8311688311688312,0.004903838786299901
best_single,out_of_distribution,JUN,0.8255079999999999,0.8254247044861309,0.8003072377461614,0.8496117329667782,0.8000874754966447,0.8377483443708609,0.005141858385497114
DNABERT,out_of_distribution,JUN,0.902936,0.9026584660733427,0.8841773190167985,0.9211375469057608,0.8957213413936447,0.916058394160584,0.01080592388496642
HetMoE,out_of_distribution,FOSL1,0.967024,0.9668936228483369,0.9564940363550001,0.9761720113249058,0.9640096402402878,0.9781021897810219,0.04279782816991377
static_mean,out_of_distribution,FOSL1,0.884904,0.8849479293221347,0.8640894992975456,0.9045289442018981,0.8640362728449259,0.8537414965986394,0.005809109424180709
best_single,out_of_distribution,FOSL1,0.8442559999999999,0.8441063914447992,0.8203704814819259,0.8663721116759467,0.8399604631436817,0.8532423208191127,0.005786099474622168
DNABERT,out_of_distribution,FOSL1,0.8897119999999998,0.889748319747421,0.8699780773427755,0.9079367338356263,0.8911869608104199,0.924187725631769,0.012055568636684718
HetMoE,out_of_distribution,ATF3,0.807768,0.8069447839617566,0.7790249263928535,0.8328749236938572,0.8280330548142506,0.8858131487889274,0.007705505222285765
static_mean,out_of_distribution,ATF3,0.7061319999999999,0.7056332231170991,0.6733071838740433,0.7358374568554881,0.723004877583767,0.7086834733893558,0.0024292119943542427
best_single,out_of_distribution,ATF3,0.7516559999999999,0.7511243681368623,0.7182636637384118,0.7804428711468221,0.7948272443679415,0.8532423208191127,0.005786099474622168
DNABERT,out_of_distribution,ATF3,0.768896,0.7688068207893543,0.7372460281743574,0.7969700766595683,0.8031186154406684,0.8811188811188811,0.007364544976328247
HetMoE,out_of_distribution,MYC,0.8430799999999999,0.8430191673984284,0.8186573927013211,0.8672074230806284,0.8334695374244512,0.8456375838926175,0.005453837164004674
static_mean,out_of_distribution,MYC,0.7265079999999999,0.7265964097853617,0.6961152461964408,0.757148789000084,0.7165895185299147,0.7163323782234957,0.002521406743250194
best_single,out_of_distribution,MYC,0.911136,0.9109702220145851,0.8917975420484642,0.9290007379656224,0.9143261495264897,0.9655172413793104,0.027263875365141188
DNABERT,out_of_distribution,MYC,0.86694,0.866510653358791,0.8441713400538519,0.8886457369545516,0.8673372514977831,0.9074733096085409,0.009722063364977699
HetMoE,out_of_distribution,MXI1,0.7808199999999998,0.7809154976074817,0.7537539752343884,0.8078228937649607,0.793085842227341,0.8155339805825242,0.004405979543666404
static_mean,out_of_distribution,MXI1,0.707984,0.7079747180859771,0.6767654969149465,0.7393780046981558,0.7106284879391971,0.7183908045977011,0.0025470698508435895
best_single,out_of_distribution,MXI1,0.802546,0.8023312341381045,0.7753191000398936,0.8291343042655417,0.8319090852209141,0.8928571428571429,0.00827266710787558
DNABERT,out_of_distribution,MXI1,0.829148,0.8286943051647129,0.8019924969159735,0.8527482558753764,0.8264271963272716,0.8685121107266436,0.006568445293486511
HetMoE,out_of_distribution,USF1,0.8697339999999999,0.8699830024506061,0.8481130630582702,0.8907205811945959,0.8675286351218111,0.901060070671378,0.009033903709214582
static_mean,out_of_distribution,USF1,0.7525120000000001,0.7525346152894379,0.7222819886726675,0.7826266805358661,0.7554858783734391,0.7368421052631579,0.002794969055699741
best_single,out_of_distribution,USF1,0.956268,0.9560592907314677,0.9442046264532775,0.9676486415798183,0.9553287474836217,0.9706959706959707,0.032093980864720845
DNABERT,out_of_distribution,USF1,0.897704,0.8975761634949055,0.8789655371954885,0.9170920581827571,0.9015434061691048,0.9430604982206405,0.016308695919748907
HetMoE,out_of_distribution,ELF1,0.9423,0.9424004335749988,0.927167349735512,0.9567547059366367,0.9450194972139081,0.9742647058823529,0.03651143565720585
static_mean,out_of_distribution,ELF1,0.8532599999999999,0.8535535890419385,0.8308290741822011,0.8780122148995665,0.8378569781834326,0.8741258741258742,0.006903407521952837
best_single,out_of_distribution,ELF1,0.8542179999999999,0.8541812313450201,0.8304250552796933,0.8772497975587367,0.8632262935643195,0.9259259259259259,0.012357884330202669
DNABERT,out_of_distribution,ELF1,0.9181920000000001,0.9182921969509003,0.9000562939107084,0.9354605066555368,0.9124107419979608,0.9430604982206405,0.016308695919748907
HetMoE,out_of_distribution,ETS1,0.7623759999999999,0.7623457513052897,0.7318891102257636,0.7919674326326811,0.7828701838655827,0.7987220447284346,0.003956510041622485
static_mean,out_of_distribution,ETS1,0.714788,0.7147691721474123,0.6809655066737115,0.7486801771095971,0.7361464198846043,0.7331378299120235,0.002742460974780329
best_single,out_of_distribution,ETS1,0.7581919999999999,0.7582463839556048,0.7269750675934494,0.7876902455132881,0.7777645139487779,0.8116883116883117,0.0042961231784437726
DNABERT,out_of_distribution,ETS1,0.790288,0.7901077065898462,0.7594557536364976,0.8176046246612432,0.827389203335447,0.8992805755395683,0.00885833746722415
HetMoE,out_of_distribution,SPI1,0.8632960000000001,0.8629857023094383,0.8394748438005727,0.8858904892690115,0.8441966032814628,0.8639455782312925,0.006316208285671657
static_mean,out_of_distribution,SPI1,0.8192039999999998,0.8187351037612395,0.7906759439506987,0.8453541018127275,0.7902708973715508,0.8057324840764332,0.004134527389201203
best_single,out_of_distribution,SPI1,0.787908,0.7877259733457184,0.7589680627239197,0.8157525070554127,0.7781609650437981,0.7636363636363637,0.003223578171770665
DNABERT,out_of_distribution,SPI1,0.8223839999999999,0.8217376877303529,0.7934068638494345,0.8459930505974127,0.8215456871248749,0.8533333333333334,0.005790283181036823
HetMoE,out_of_distribution,SP2,0.7918320000000001,0.7918921132347289,0.7648094545007175,0.819909898593252,0.7954417837325368,0.8116883116883117,0.0042961231784437726
static_mean,out_of_distribution,SP2,0.670744,0.6713514491680551,0.638707107905993,0.7062929561753457,0.6508607904638675,0.6476683937823834,0.0018366957109481757
best_single,out_of_distribution,SP2,0.668964,0.6687574550791544,0.634335593867864,0.7002400338124762,0.6845421157324395,0.6747311827956989,0.002072153884256584
DNABERT,out_of_distribution,SP2,0.749858,0.7495915585096309,0.7188899059512807,0.7781931498602203,0.7490847005553265,0.7339181286549707,0.0027534006143045196
HetMoE,out_of_distribution,YY1,0.7027559999999999,0.7021866470324551,0.6705403669743338,0.732683314331942,0.7137792126878798,0.7082152974504249,0.0024237253628316873
static_mean,out_of_distribution,YY1,0.680604,0.6805679504898194,0.6473790978337955,0.7129146005228921,0.68544303756419,0.6906077348066298,0.002229395922880736
best_single,out_of_distribution,YY1,0.738056,0.7378731463504402,0.7068953202222211,0.7680945080063646,0.7604420958392777,0.7987220447284346,0.003956510041622485
DNABERT,out_of_distribution,YY1,0.8017759999999999,0.8020411019957765,0.7750154468154626,0.8252004487988114,0.8206280371298655,0.8422818791946308,0.005317345987628167
HetMoE,out_of_distribution,ZNF143,0.696712,0.6960962062351548,0.6627527181335097,0.7273646223521902,0.7042099082850943,0.7142857142857143,0.0024962556165751375
static_mean,out_of_distribution,ZNF143,0.664716,0.6639590592385767,0.6320887381642513,0.696358890774828,0.6624407540657398,0.6510416666666666,0.001864057979659399
best_single,out_of_distribution,ZNF143,0.735224,0.7349515327148779,0.7046855989372368,0.765172450852177,0.7626480902273216,0.7791411042944786,0.0035188828239727356
DNABERT,out_of_distribution,ZNF143,0.7866439999999999,0.7864432546783046,0.7589472383749176,0.8124058589913699,0.7908188371057188,0.8,0.003988035892323031
HetMoE,out_of_distribution,REST,0.587396,0.5881927912208966,0.5549306570281255,0.6191774379551709,0.5952219625004044,0.5506607929515418,0.0012252139223508426
static_mean,out_of_distribution,REST,0.5726640000000001,0.5730965406256088,0.5379499966721512,0.6069582972136425,0.5838910238350541,0.5540838852097131,0.00124227291399611
best_single,out_of_distribution,REST,0.615092,0.6155863475978226,0.5794827087872205,0.6493943338013506,0.629632715456977,0.6,0.0014992503748125937
DNABERT,out_of_distribution,REST,0.677052,0.6766915490782319,0.6444852591069432,0.7080166575992793,0.6817771037284757,0.6666666666666666,0.0019980019980019984
HetMoE,out_of_distribution,GATA1,0.919428,0.9190906620029956,0.9016851609290562,0.9356894731409932,0.9092556169790664,0.9399293286219081,0.01542118383674416
static_mean,out_of_distribution,GATA1,0.90236,0.9025060237263937,0.8841584254374567,0.9209209893189318,0.8928217234929218,0.9166666666666666,0.010891089108910892
best_single,out_of_distribution,GATA1,0.80612,0.8059387174404167,0.780565483366477,0.8321912941854508,0.7936315560297472,0.8273615635179153,0.004774346346873179
DNABERT,out_of_distribution,GATA1,0.887436,0.8875674243688423,0.8670333279950448,0.9068916317458376,0.8900461082589589,0.927536231884058,0.012650721486459774
HetMoE,out_of_distribution,GATA2,0.904952,0.904573537656724,0.8865626738977493,0.921559495967932,0.9028149500528945,0.9363295880149812,0.014507050426507281
static_mean,out_of_distribution,GATA2,0.8969199999999999,0.8970437774569575,0.8775754416578944,0.9159258531528063,0.893419252372788,0.9309090909090909,0.013307688308987889
best_single,out_of_distribution,GATA2,0.7981760000000001,0.798419044879784,0.7711420500242079,0.8246759550606717,0.8016128843316708,0.8366666666666667,0.005101418641518638
DNABERT,out_of_distribution,GATA2,0.877888,0.8781315709574449,0.8575917729154819,0.8992940217438689,0.8820885363402792,0.9032258064516129,0.009256198347107438
HetMoE,out_of_distribution,FOXA1,0.899716,0.8996112155320684,0.880060441440786,0.9195953405565249,0.8932021967291833,0.940959409594096,0.015702937372990944
static_mean,out_of_distribution,FOXA1,0.8093000000000001,0.8095936780847001,0.7814616943063304,0.8354737854260231,0.7795133640181529,0.78125,0.0035622684525505838
best_single,out_of_distribution,FOXA1,0.612732,0.612275505563997,0.5769862925939443,0.648942210691027,0.6232667309797191,0.6023809523809524,0.0015141902972122142
DNABERT,out_of_distribution,FOXA1,0.765404,0.7656611696151873,0.7370046365255064,0.793806646844927,0.7612976456962828,0.7753846153846153,0.0034436108719714674
HetMoE,out_of_distribution,FOXA2,0.886204,0.8856771878408878,0.8633657554083463,0.9051514535414478,0.8659179792492233,0.8835616438356164,0.007538569424964937
static_mean,out_of_distribution,FOXA2,0.7912320000000002,0.7907561383672848,0.761086113546688,0.8185669209990937,0.7522619000265586,0.7418397626112759,0.002868189484070076
best_single,out_of_distribution,FOXA2,0.6130279999999999,0.6126180425001294,0.5756947954636317,0.6486288587293609,0.5933975079411625,0.5911214953271028,0.0014450701972834967
DNABERT,out_of_distribution,FOXA2,0.7580399999999999,0.7569505714281172,0.7281239217942912,0.7875736578002155,0.7440835406326858,0.7183908045977011,0.0025470698508435895
HetMoE,out_of_distribution,CTCF,0.9161959999999999,0.9164105419249547,0.8987786273791477,0.9330363120629268,0.9105261564939191,0.9365671641791045,0.014564233491934548
static_mean,out_of_distribution,CTCF,0.775284,0.7762824356267478,0.7477111893837637,0.8022169871821171,0.7433555351774705,0.742603550295858,0.0028796292047175444
best_single,out_of_distribution,CTCF,0.8502480000000001,0.850411778849177,0.8273563151376737,0.872531090225564,0.8534048408415115,0.8964285714285715,0.008589418930942441
DNABERT,out_of_distribution,CTCF,0.79438,0.7949771127842076,0.7653570441921017,0.8205357592585988,0.7802915595706399,0.784375,0.0036281113584458384
HetMoE,out_of_distribution,STAT3,0.834096,0.8336447012921618,0.8097313657701155,0.8574520916236756,0.8372689440661732,0.8710801393728222,0.0067180823905624385
static_mean,out_of_distribution,STAT3,0.82588,0.8251169893510284,0.8002878939833522,0.8494274920349834,0.8125508540200296,0.84,0.005227781926811052
best_single,out_of_distribution,STAT3,0.705436,0.7047464131888286,0.6711965233544237,0.7363068597503635,0.7026883632316325,0.7159090909090909,0.002516175413371675
DNABERT,out_of_distribution,STAT3,0.822552,0.8217831517307487,0.7946181146571537,0.8479634637264696,0.8206053221570807,0.8680555555555556,0.006542447398722915
HetMoE,out_of_distribution,NRF1,0.712312,0.7129653735624282,0.6818754168726932,0.7445650522350634,0.7116963442890882,0.7055555555555556,0.0023928854052831894
static_mean,out_of_distribution,NRF1,0.647888,0.6481448432547376,0.6162998726898672,0.6825027608860276,0.6426048843156056,0.6142506142506142,0.0015914140031700965
